timestamp,temp_c,icm_temp_c,pressure,raw_pres,humidity,raw_humidity,eco2,tvoc,raw_H2,raw_Eth,baseline_eco2,baseline_tvoc
2026-03-09 20:26:00.551949,25.01793977865018,26.70701171114506,1000.0893354606624,817.4938814359779,38.066681498528325,31.36321019611136,722.4,38765.2,13366.2,23056.0,36901.0,42429.0
2026-03-09 20:26:30.552950,25.020058087486355,26.755862094286254,1000.006211869298,817.4999825524835,38.11614035779996,31.41307037303848,728.9354838709677,34482.32258064516,13361.193548387097,19204.032258064515,36901.0,42429.0
2026-03-09 20:27:00.553132,25.03809681566406,26.83624880072115,1000.0829830030043,817.5118477492393,38.051285867182166,31.347710411105727,731.3548387096774,29624.709677419356,13360.870967741936,19274.290322580644,36901.0,42429.0
2026-03-09 20:27:30.565467,25.043723575552107,26.89653883054733,1000.0104062535657,817.496896482237,37.970594535679034,31.2675354224637,735.2903225806451,26031.064516129034,13358.258064516129,19325.709677419356,36901.0,42429.0
2026-03-09 20:28:00.555839,25.014596822389002,26.916635507156045,999.9843806139802,817.4919492357769,38.193032627094404,31.490328967711893,739.5806451612904,23431.451612903227,13354.09677419355,19365.870967741936,36901.0,42429.0
2026-03-09 20:28:30.559361,24.95899122718425,26.918181405356723,999.9348832939654,817.4582617759656,38.26639729318229,31.567669581175778,743.6129032258065,21212.870967741936,13352.516129032258,19397.387096774193,36901.0,42429.0
2026-03-09 20:29:00.552494,24.902061726360003,26.986200926186253,999.91229496194,817.4482414007675,38.371167715614384,31.674808413435283,744.0967741935484,18775.064516129034,13348.516129032258,19432.74193548387,36901.0,42429.0
2026-03-09 20:29:30.554343,24.89511103136371,27.038761465009067,999.91640121089,817.4591941380559,38.4085406818783,31.706752744322287,748.7096774193549,17171.967741935485,13346.290322580646,19456.225806451614,36901.0,42429.0
2026-03-09 20:30:00.554238,24.881209650618633,27.035669668607728,999.9299876408519,817.4604445552972,38.29204935790529,31.587892454771556,751.9677419354839,16061.612903225807,13344.612903225807,19482.612903225807,36901.0,42429.0
2026-03-09 20:30:30.555201,24.776121880444173,27.027940177604368,999.9064194979259,817.4593717496678,38.36356713399445,31.65867343568766,754.5483870967741,15518.161290322581,13342.451612903225,19502.548387096773,36901.0,42429.0
2026-03-09 20:31:00.558090,24.734748770122327,27.02021068660101,999.9153503138268,817.4630197619597,38.503119308583706,31.804556998517533,750.7741935483871,14947.709677419354,13344.0,19528.74193548387,36901.0,42429.0
2026-03-09 20:31:30.557168,24.77132259415286,27.126877662447317,999.9284612004043,817.46075446756,38.44420763125607,31.73896136306848,749.1290322580645,14443.677419354839,13346.0,19555.516129032258,36901.0,42429.0
2026-03-09 20:32:00.557457,24.739051576604272,27.097505596634566,999.9351471222847,817.4577503617082,38.20709620242307,31.505134595921593,752.6774193548387,14001.09677419355,13343.870967741936,19575.1935483871,36901.0,42429.0
2026-03-09 20:32:30.561312,24.681791224310384,27.11914817144396,999.9276881374664,817.4648802661972,38.648205963545905,31.94750293193076,753.2903225806451,13679.451612903225,13342.806451612903,19589.129032258064,36901.0,42429.0
2026-03-09 20:33:00.555283,24.761393052220697,27.10832688403927,999.9745868968835,817.4821328256355,38.613950181865796,31.909602103958473,750.6451612903226,13139.064516129032,13346.09677419355,19613.645161290322,36901.0,42429.0
2026-03-09 20:33:30.570935,24.849600558587905,27.1655251174641,999.9241770209,817.461347917243,38.30742320649502,31.60055055629469,743.3870967741935,12691.709677419354,13349.741935483871,19633.74193548387,36901.0,42429.0
2026-03-09 20:34:00.556823,24.92026592279698,27.26291670410638,999.9414227225113,817.4674774273328,38.17923838908262,31.474390949065587,748.9677419354839,12402.354838709678,13345.677419354839,19645.0,36901.0,42429.0
2026-03-09 20:34:30.551964,24.961473618354272,27.27373799151108,999.9508330973433,817.4736242549458,38.10266495372261,31.401047321808363,750.9032258064516,12150.0,13345.09677419355,19656.451612903227,36901.0,42429.0
2026-03-09 20:35:00.550208,24.95121306545409,27.26755439870839,999.9813207802844,817.4783382328385,38.17276191427468,31.47132870920042,749.3225806451613,11942.677419354839,13348.193548387097,19666.967741935485,36901.0,42429.0
2026-03-09 20:35:30.552212,24.99324824276658,27.2938346681198,999.9717499437687,817.4713947414677,38.04357741714912,31.336549178320347,746.258064516129,11512.322580645161,13349.41935483871,19685.0,36901.0,42429.0
2026-03-09 20:36:00.555428,25.024360902783943,27.320114937531212,999.9635131016485,817.4814065285125,38.11928223762511,31.418952752291105,745.5806451612904,11294.806451612903,13349.290322580646,19693.774193548386,36901.0,42429.0
2026-03-09 20:36:30.555226,25.028829211783183,27.35721649434732,1000.0126542878525,817.4992991870278,38.03030514304122,31.324900372569406,752.2258064516129,11229.612903225807,13344.677419354839,19699.612903225807,36901.0,42429.0
2026-03-09 20:37:00.558293,25.024029916976655,27.3262985303339,1000.0081446855855,817.510620013434,37.97965873762819,31.27570314526813,751.5806451612904,11104.935483870968,13344.709677419354,19703.225806451614,36901.0,42429.0
2026-03-09 20:37:30.554237,25.018403158149486,27.38195086555806,999.9809037045073,817.5004927568023,38.064395678115076,31.36711572825599,757.8064516129032,11090.41935483871,13339.483870967742,19705.870967741936,36901.0,42429.0
2026-03-09 20:38:00.560228,25.022705973860162,27.406685236768798,999.9839490761502,817.4842258879372,38.09054158923325,31.38748951760004,756.1612903225806,11068.645161290322,13340.774193548386,19707.870967741936,36901.0,42429.0
2026-03-09 20:38:30.556244,25.034455971192425,27.415960625972826,1000.0050657089301,817.4949430549995,38.0575315934277,31.35481491308201,751.1935483870968,10706.838709677419,13341.838709677419,19723.25806451613,36901.0,42429.0
2026-03-09 20:39:00.559257,25.02882921195217,27.434511404380878,999.9989979614576,817.4894765912289,38.076835289406766,31.376666429248722,752.1935483870968,10545.322580645161,13343.290322580646,19729.677419354837,36901.0,42429.0
2026-03-09 20:39:30.561976,25.061431323104884,27.42059832057484,999.9651734885989,817.4806414797446,38.027390374180825,31.32052980358053,754.1612903225806,10411.483870967742,13341.870967741936,19739.290322580644,36901.0,42429.0
